mv upng/upng.c upng/upng.cpp || true && mkdir out || true
mpic++ -Xpreprocessor -fopenmp -c main.cpp
mpic++ -c upng/upng.cpp
mpic++ --std=c++14 -lstdc++ -lomp -lm -o output.out main.o upng.o
filename,width,height,mpi_num_processes,omp_num_threads,time(s)
img/smallwheel.png,64,64,1,1,0.003507
img/smallwheel.png,64,64,1,2,0.002712
img/smallwheel.png,64,64,1,3,0.002789
img/smallwheel.png,64,64,1,4,0.003094
img/smallwheel.png,64,64,1,5,0.002546
img/smallwheel.png,64,64,1,6,0.002393
img/smallwheel.png,64,64,1,7,0.002698
img/smallwheel.png,64,64,1,8,0.002831
img/smallwheel.png,64,64,2,1,0.018235
img/smallwheel.png,64,64,2,2,0.016047
img/smallwheel.png,64,64,2,3,0.003216
img/smallwheel.png,64,64,2,4,0.002618
img/smallwheel.png,64,64,2,5,0.002902
img/smallwheel.png,64,64,2,6,0.003223
img/smallwheel.png,64,64,2,7,0.003234
img/smallwheel.png,64,64,2,8,0.003347
img/smallwheel.png,64,64,3,1,0.033038
img/smallwheel.png,64,64,3,2,0.028103
img/smallwheel.png,64,64,3,3,0.003055
img/smallwheel.png,64,64,3,4,0.002617
img/smallwheel.png,64,64,3,5,0.003153
img/smallwheel.png,64,64,3,6,0.043696
img/smallwheel.png,64,64,3,7,0.205338
img/smallwheel.png,64,64,3,8,0.210351
img/smallwheel.png,64,64,4,1,0.039282
img/smallwheel.png,64,64,4,2,0.010821
img/smallwheel.png,64,64,4,3,0.017091
img/smallwheel.png,64,64,4,4,0.007665
img/smallwheel.png,64,64,4,5,0.209718
img/smallwheel.png,64,64,4,6,0.120365
img/smallwheel.png,64,64,4,7,0.237976
img/smallwheel.png,64,64,4,8,0.208802
img/wheel.png,256,256,1,1,0.031191
img/wheel.png,256,256,1,2,0.018998
img/wheel.png,256,256,1,3,0.015014
img/wheel.png,256,256,1,4,0.012369
img/wheel.png,256,256,1,5,0.012372
img/wheel.png,256,256,1,6,0.010980
img/wheel.png,256,256,1,7,0.010738
img/wheel.png,256,256,1,8,0.009734
img/wheel.png,256,256,2,1,0.041194
img/wheel.png,256,256,2,2,0.032584
img/wheel.png,256,256,2,3,0.016472
img/wheel.png,256,256,2,4,0.013152
img/wheel.png,256,256,2,5,0.013453
img/wheel.png,256,256,2,6,0.013949
img/wheel.png,256,256,2,7,0.012163
img/wheel.png,256,256,2,8,0.011643
img/wheel.png,256,256,3,1,0.045506
img/wheel.png,256,256,3,2,0.037243
img/wheel.png,256,256,3,3,0.015252
img/wheel.png,256,256,3,4,0.016722
img/wheel.png,256,256,3,5,0.014082
img/wheel.png,256,256,3,6,0.147224
img/wheel.png,256,256,3,7,0.218712
img/wheel.png,256,256,3,8,0.165985
img/wheel.png,256,256,4,1,0.072228
img/wheel.png,256,256,4,2,0.020162
img/wheel.png,256,256,4,3,0.016373
img/wheel.png,256,256,4,4,0.016824
img/wheel.png,256,256,4,5,0.213402
img/wheel.png,256,256,4,6,0.206071
img/wheel.png,256,256,4,7,0.218064
img/wheel.png,256,256,4,8,0.241789
img/baboon.png,1553,1709,1,1,1.235927
img/baboon.png,1553,1709,1,2,0.740230
